system:index,B11_2018,B11_2024,B12_2018,B12_2024,B2_2018,B2_2024,B3_2018,B3_2024,B4_2018,B4_2024,B8_2018,B8_2024,DW_LABEL_2018,DW_LABEL_2024,MNDWI_2018,MNDWI_2024,NDBI_2018,NDBI_2024,NDVI_2018,NDVI_2024,NDWI_2018,NDWI_2024,latitude,longitude,point_id,region,region_id,.geo
1_2_296_0_1_2_296_0,0.22525,0.2208,0.1752,0.16915,0.0689,0.07445,0.0819,0.0894,0.0968,0.0905,0.2176,0.2397,6,6,-0.4667101,-0.4235977,0.017274473,-0.041042347,0.3842239,0.45184737,-0.4530885,-0.4567001,9.934693305898818,76.39089021519166,5296.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_297_0_1_2_297_0,0.0123,0.0155,0.00895,0.0099,0.07035,0.0696,0.0638,0.0675,0.03695,0.0397,0.02475,0.0234,0,0,0.6767411,0.62650603,-0.3360324,-0.20308483,-0.19773096,-0.25832012,0.4409938,0.48514852,10.025692644180126,76.16370627983784,5297.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_298_0_1_2_298_0,0.01505,0.0164,0.00925,0.0104,0.06775,0.062,0.07445,0.0711,0.0597,0.0542,0.04065,0.0373,0,0,0.66368717,0.6251429,-0.45960504,-0.38919926,-0.18983558,-0.18469946,0.2936577,0.3118081,10.08848488254008,76.24024274204481,5298.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_299_0_1_2_299_0,0.22995,0.2327,0.1702,0.1679,0.0948,0.0959,0.1153,0.1158,0.1229,0.1152,0.2438,0.2614,6,6,-0.33207822,-0.3354376,-0.029234828,-0.058085408,0.3296973,0.3882103,-0.35783905,-0.38600212,10.037550405930503,76.22712733889668,5299.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_300_0_1_2_300_0,0.0132,0.0128,0.0088,0.0105,0.07905,0.0746,0.0798,0.0776,0.04865,0.0476,0.0271,0.0266,0,0,0.716129,0.71681416,-0.34491315,-0.35025382,-0.28448844,-0.28301886,0.4929841,0.4894434,10.073932174937344,76.18733197181018,5300.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_301_0_1_2_301_0,0.1605,0.17245,0.10285,0.1087,0.06315,0.0639,0.07315,0.0753,0.0636,0.0664,0.2375,0.2188,6,6,-0.37384978,-0.39212915,-0.19346733,-0.11846645,0.577549,0.53436184,-0.52905196,-0.48792928,9.915828684932308,76.35441861465641,5301.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_302_0_1_2_302_0,0.1538,0.1553,0.0846,0.0861,0.0562,0.0465,0.0704,0.062,0.0549,0.0464,0.2402,0.2474,1,1,-0.3719893,-0.42936033,-0.21928935,-0.22870623,0.6279227,0.6841389,-0.54668385,-0.5992243,9.912594749909477,76.3099520080925,5302.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_303_0_1_2_303_0,0.2265,0.2396,0.12365,0.1341,0.05555,0.051,0.0664,0.0776,0.0643,0.0554,0.2923,0.3764,1,1,-0.54660296,-0.51071876,-0.12683114,-0.22207792,0.6393719,0.74339974,-0.6297742,-0.6581498,9.838393907441205,76.44847222490372,5303.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_304_0_1_2_304_0,0.1873,0.1871,0.1241,0.1398,0.0642,0.0946,0.08165,0.112,0.08245,0.1056,0.2291,0.249,6,6,-0.39282393,-0.2510866,-0.10038424,-0.14193992,0.47071096,0.40439934,-0.4744972,-0.37950137,10.035304617720204,76.37076795282738,5304.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_305_0_1_2_305_0,0.01085,0.0117,0.00695,0.0083,0.0586,0.05665,0.0629,0.0625,0.04075,0.044,0.0265,0.02795,0,0,0.7057627,0.6846361,-0.41900936,-0.40983605,-0.21189591,-0.22307158,0.40715882,0.381979,9.895526759511206,76.35028636434946,5305.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_306_0_1_2_306_0,0.2608,0.2342,0.17045,0.1199,0.0769,0.0578,0.1048,0.0908,0.1129,0.0641,0.2755,0.4084,6,1,-0.42669585,-0.44123077,-0.027410032,-0.27108622,0.41864058,0.7286773,-0.44885617,-0.63621795,9.996587228974652,76.34902872295169,5306.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_307_0_1_2_307_0,0.2687,0.2461,0.28165,0.2472,0.1392,0.1194,0.1358,0.122,0.1369,0.1196,0.1979,0.1758,6,6,-0.32855377,-0.33713666,0.15173596,0.16662717,0.18219833,0.1902505,-0.1860953,-0.18065816,9.976105640496728,76.28758395751791,5307.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_308_0_1_2_308_0,0.0149,0.0129,0.0097,0.0095,0.0628,0.0626,0.0696,0.07,0.0555,0.0544,0.0295,0.029,0,0,0.64733726,0.6887817,-0.32882884,-0.3842482,-0.30588236,-0.30455637,0.40464178,0.41414142,9.891843666846317,76.30294514887636,5308.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
