system:index,B11_2018,B11_2024,B12_2018,B12_2024,B2_2018,B2_2024,B3_2018,B3_2024,B4_2018,B4_2024,B8_2018,B8_2024,DW_LABEL_2018,DW_LABEL_2024,MNDWI_2018,MNDWI_2024,NDBI_2018,NDBI_2024,NDVI_2018,NDVI_2024,NDWI_2018,NDWI_2024,latitude,longitude,point_id,region,region_id,.geo
1_1_1_1_1_1_1_1_1_1_1_2_0_0_1_1_1_1_1_1_1_1_1_1_1_2_0_0,0.3702,0.34615,0.2707,0.25775,0.0908,0.08405,0.1206,0.1176,0.1878,0.164,0.2678,0.2351,5,5,-0.50855744,-0.4928302,0.16050157,0.19105376,0.17559263,0.17815083,-0.37899074,-0.3331443,19.9352780378878,73.65758630020119,0.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_1_0_1_1_1_1_1_1_1_1_1_1_1_2_1_0,0.2276,0.2372,0.1537,0.1825,0.0496,0.0796,0.075,0.1022,0.1026,0.1222,0.2264,0.2108,5,6,-0.5042961,-0.39776075,0.0026431717,0.05892857,0.37629178,0.26606607,-0.5023225,-0.34696487,20.034002887612537,73.83230862296244,1.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_2_0_1_1_1_1_1_1_1_1_1_1_1_2_2_0,0.30145,0.2675,0.21565,0.1993,0.0895,0.0586,0.1185,0.085,0.1588,0.12,0.2846,0.2322,5,1,-0.4356471,-0.5177305,0.028751813,0.07064238,0.28371674,0.318569,-0.41205657,-0.46406052,19.938242478325396,73.74714833402791,2.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_3_0_1_1_1_1_1_1_1_1_1_1_1_2_3_0,0.207,0.17705,0.1447,0.12065,0.0634,0.04915,0.0834,0.06965,0.1046,0.0784,0.2286,0.2073,4,4,-0.42561984,-0.43534657,-0.049586777,-0.078704305,0.37214887,0.45117256,-0.4653846,-0.4970211,19.97803784541189,73.677169573395,3.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_4_0_1_1_1_1_1_1_1_1_1_1_1_2_4_0,0.2084,0.208,0.139,0.1465,0.0594,0.0417,0.0875,0.0688,0.0979,0.0732,0.2518,0.2274,4,4,-0.40858397,-0.50289017,-0.09430683,-0.04455673,0.44009152,0.512974,-0.48423225,-0.535449,20.01980950612345,73.74660934485743,4.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_5_0_1_1_1_1_1_1_1_1_1_1_1_2_5_0,0.1904,0.23965,0.1095,0.16315,0.0386,0.041,0.0556,0.05915,0.0516,0.06755,0.2368,0.1822,1,4,-0.5479675,-0.604083,-0.10861423,0.13618585,0.64216363,0.45905906,-0.61969906,-0.5098405,19.87491125079497,73.8229661440076,5.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_6_0_1_1_1_1_1_1_1_1_1_1_1_2_6_0,0.2911,0.2766,0.2231,0.2082,0.0664,0.0554,0.0897,0.0816,0.1274,0.1178,0.228,0.2178,5,5,-0.52888656,-0.5443886,0.12155654,0.11893204,0.28306133,0.29797378,-0.43531632,-0.45490983,20.055382791374583,73.84470537388329,6.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_7_0_1_1_1_1_1_1_1_1_1_1_1_2_7_0,0.2653,0.2566,0.1985,0.2019,0.0644,0.0761,0.0882,0.1062,0.1148,0.1438,0.2366,0.2336,4,6,-0.5009901,-0.41455346,0.057182707,0.046919625,0.34661356,0.23794383,-0.45689654,-0.37492642,20.0322062570443,73.81856439911542,7.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_8_0_1_1_1_1_1_1_1_1_1_1_1_2_8_0,0.1753,0.1332,0.1176,0.067,0.0468,0.0355,0.0582,0.0525,0.0548,0.0395,0.1704,0.3424,4,4,-0.50149894,-0.4345719,0.014174139,-0.43986544,0.5133215,0.7931396,-0.49081364,-0.7341099,20.04613014394815,73.93013515740306,8.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_9_0_1_1_1_1_1_1_1_1_1_1_1_2_9_0,0.1579,0.1727,0.1078,0.1106,0.0402,0.0286,0.0614,0.056,0.0626,0.0442,0.1796,0.2766,4,4,-0.44003648,-0.5102755,-0.0642963,-0.2312486,0.48307183,0.7244389,-0.49045643,-0.66325915,20.03696732805013,73.83365609588861,9.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_10_0_1_1_1_1_1_1_1_1_1_1_1_2_10_0,0.2173,0.2005,0.1767,0.1659,0.1128,0.0902,0.1404,0.1178,0.1682,0.1538,0.2578,0.2388,6,6,-0.21498463,-0.25981778,-0.085245214,-0.08718415,0.21032864,0.21650535,-0.29482672,-0.33931577,20.029331648135116,73.78299111386428,10.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_11_0_1_1_1_1_1_1_1_1_1_1_1_2_11_0,0.2771,0.2904,0.1879,0.2085,0.0673,0.0643,0.083,0.0892,0.1005,0.1216,0.2426,0.2534,4,4,-0.53901696,-0.5300316,0.06638445,0.06803972,0.41416496,0.35146666,-0.490172,-0.47927612,20.021785799748514,73.85431734742338,11.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_12_0_1_1_1_1_1_1_1_1_1_1_1_2_12_0,0.2362,0.1732,0.173,0.1065,0.07065,0.0414,0.0915,0.0684,0.1135,0.0678,0.2285,0.2696,4,4,-0.4415624,-0.43377483,0.01656983,-0.2177055,0.3362573,0.59810317,-0.428125,-0.5952663,19.979115823752835,73.71094622807789,12.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_13_0_1_1_1_1_1_1_1_1_1_1_1_2_13_0,0.351,0.33255,0.2618,0.2667,0.085,0.0896,0.1112,0.121,0.1632,0.1758,0.2562,0.2435,4,5,-0.518823,-0.4664315,0.15612648,0.15458727,0.22174536,0.16145958,-0.3946652,-0.33607683,19.874731587738147,73.90049075302711,13.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_14_0_1_1_1_1_1_1_1_1_1_1_1_2_14_0,0.2239,0.2657,0.1686,0.1969,0.0578,0.0547,0.07475,0.0773,0.0886,0.1164,0.2103,0.1894,4,5,-0.49941403,-0.54927117,0.031321973,0.16765545,0.4071596,0.23871812,-0.4755306,-0.42032245,19.967527556587694,73.707263135413,14.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_15_0_1_1_1_1_1_1_1_1_1_1_1_2_15_0,0.2176,0.2326,0.1759,0.1802,0.0913,0.0672,0.1176,0.11,0.148,0.1256,0.2278,0.2344,4,6,-0.29832935,-0.3578517,-0.022900764,-0.0038543898,0.21234699,0.30222222,-0.31905037,-0.3612079,20.025019734771345,73.76403666136936,15.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_16_0_1_1_1_1_1_1_1_1_1_1_1_2_16_0,0.13685,0.1834,0.0864,0.1041,0.04755,0.0317,0.0589,0.0592,0.05605,0.0439,0.2218,0.34,4,4,-0.39821202,-0.51195383,-0.23686045,-0.29919755,0.5965449,0.7712946,-0.5803349,-0.7034068,19.931505113694502,73.93372841853953,16.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_17_0_1_1_1_1_1_1_1_1_1_1_1_2_17_0,0.1641,0.1504,0.0944,0.1091,0.0416,0.0479,0.0634,0.0682,0.0513,0.0761,0.2408,0.2032,4,4,-0.44263735,-0.37602928,-0.18942949,-0.14932127,0.6487504,0.45506623,-0.583169,-0.4974208,20.068767689107965,73.73340411018089,17.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_18_0_1_1_1_1_1_1_1_1_1_1_1_2_18_0,0.1707,0.162,0.1084,0.0955,0.0412,0.0386,0.059,0.061,0.0534,0.062,0.237,0.2024,4,4,-0.48628646,-0.4529148,-0.16261958,-0.11086718,0.6322314,0.5310136,-0.6013514,-0.53682613,20.070654151204614,73.93444707076684,18.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_19_0_1_1_1_1_1_1_1_1_1_1_1_2_19_0,0.2889,0.3242,0.22985,0.2572,0.0848,0.0888,0.1096,0.1188,0.1437,0.1618,0.2384,0.2448,4,4,-0.44993725,-0.46365687,0.09577091,0.13954306,0.24784088,0.20413183,-0.37011495,-0.34653464,19.924677917535192,73.77715206451751,19.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_20_0_1_1_1_1_1_1_1_1_1_1_1_2_20_0,0.1619,0.18005,0.089,0.11125,0.0455,0.04625,0.0642,0.06705,0.0554,0.07085,0.2718,0.2613,4,4,-0.43210968,-0.45730475,-0.25340098,-0.18409425,0.6613692,0.57338554,-0.61785716,-0.59159434,19.891260588965945,73.85692246174732,20.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_21_0_1_1_1_1_1_1_1_1_1_1_1_2_21_0,0.1554,0.1635,0.0951,0.1075,0.0398,0.0285,0.0518,0.0465,0.0418,0.0358,0.1916,0.2148,6,6,-0.5,-0.55714285,-0.10432277,-0.13560666,0.6418166,0.71428573,-0.5743632,-0.64408726,20.103981648245448,73.91926554246521,21.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_22_0_1_1_1_1_1_1_1_1_1_1_1_2_22_0,0.1896,0.26245,0.15,0.1926,0.0532,0.0614,0.061,0.0844,0.0739,0.107,0.1448,0.2223,1,1,-0.5131684,-0.5133343,0.13397129,0.0828262,0.32418838,0.35013667,-0.40719146,-0.44962505,19.85460932537387,73.90067041608394,22.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_23_0_1_1_1_1_1_1_1_1_1_1_1_2_23_0,0.1795,0.1803,0.1421,0.1431,0.0503,0.0475,0.0646,0.0634,0.0992,0.0973,0.1612,0.1664,4,4,-0.47070873,-0.47968814,0.053712945,0.0400923,0.23809524,0.2620402,-0.42781222,-0.44821584,20.06670156395449,73.94504719111944,23.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_24_0_1_1_1_1_1_1_1_1_1_1_1_2_24_0,0.30155,0.3003,0.22455,0.22465,0.0662,0.06565,0.0879,0.0892,0.1187,0.1238,0.2142,0.2168,6,6,-0.5485942,-0.54197687,0.169365,0.16147748,0.28687292,0.27304757,-0.41807348,-0.41699347,20.137758302928344,73.68561373706572,24.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_25_0_1_1_1_1_1_1_1_1_1_1_1_2_25_0,0.1994,0.221,0.146,0.1683,0.0588,0.1048,0.0708,0.1248,0.082,0.123,0.206,0.2674,4,6,-0.47594374,-0.2781955,-0.016280217,-0.0950041,0.43055555,0.36987704,-0.4884393,-0.36359,20.007053429088952,73.92420627652787,25.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_26_0_1_1_1_1_1_1_1_1_1_1_1_2_26_0,0.222,0.2238,0.1568,0.1533,0.0571,0.0494,0.074,0.0704,0.0761,0.0639,0.2488,0.3066,6,6,-0.5,-0.521414,-0.056924384,-0.1561086,0.53154814,0.6550607,-0.5415118,-0.6265252,19.996004151094283,73.87381078908876,26.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_27_0_1_1_1_1_1_1_1_1_1_1_1_2_27_0,0.03635,0.13855,0.0247,0.11395,0.04475,0.04965,0.0599,0.0628,0.0538,0.0753,0.0577,0.1205,0,4,0.24467532,-0.37621057,-0.22700691,0.069677666,0.034977578,0.2308478,0.018707482,-0.3147845,20.01702472874268,73.66621012692875,27.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_28_0_1_1_1_1_1_1_1_1_1_1_1_2_28_0,0.1811,0.1846,0.105,0.1105,0.0503,0.034,0.0672,0.0692,0.0612,0.0564,0.2604,0.278,4,4,-0.45871928,-0.45468873,-0.17961495,-0.20190229,0.619403,0.66267943,-0.5897436,-0.6013825,20.040919915300258,73.93516572299413,28.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_29_0_1_1_1_1_1_1_1_1_1_1_1_2_29_0,0.2164,0.1935,0.1552,0.1466,0.056,0.0425,0.0746,0.0638,0.0852,0.0752,0.2084,0.174,4,4,-0.48728523,-0.50408083,0.018832391,0.053061225,0.41961852,0.3964687,-0.47279152,-0.46341464,20.073438928585386,73.94432853889215,29.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_30_0_1_1_1_1_1_1_1_1_1_1_1_2_30_0,0.15535,0.1418,0.10605,0.1078,0.0507,0.045,0.0638,0.0656,0.07105,0.0715,0.1508,0.147,4,4,-0.4177504,-0.36740598,0.014861995,-0.01800554,0.35947713,0.34553775,-0.4054054,-0.38287863,19.9375238260981,73.79763365299543,30.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_31_0_1_1_1_1_1_1_1_1_1_1_1_2_31_0,0.1644,0.1235,0.0937,0.0966,0.052,0.0452,0.0608,0.059,0.0514,0.0722,0.275,0.1754,4,4,-0.46003553,-0.35342467,-0.25170687,-0.17363667,0.685049,0.4168013,-0.63787967,-0.49658704,19.99510583581016,73.88512956166866,31.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_32_0_1_1_1_1_1_1_1_1_1_1_1_2_32_0,0.2153,0.24005,0.1893,0.1987,0.0772,0.07265,0.1028,0.09905,0.1386,0.1325,0.1786,0.1942,5,5,-0.35366237,-0.41580653,0.09317086,0.10558434,0.1261034,0.18885829,-0.26936746,-0.32446718,19.943183212388053,73.69235110169662,32.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_33_0_1_1_1_1_1_1_1_1_1_1_1_2_33_0,0.331,0.3482,0.2688,0.2722,0.0849,0.096,0.1144,0.133,0.156,0.1766,0.2172,0.2496,4,4,-0.48630443,-0.4472153,0.20758846,0.1649381,0.16398714,0.17128108,-0.31001207,-0.30475694,20.061311672249772,73.91118070490813,33.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_34_0_1_1_1_1_1_1_1_1_1_1_1_2_34_0,0.2503,0.2662,0.1831,0.205,0.063,0.064,0.0846,0.0938,0.1348,0.1352,0.2072,0.2022,4,4,-0.49477455,-0.4788889,0.09420765,0.13663535,0.21169591,0.19857736,-0.4201508,-0.3662162,20.0156772558165,73.91423497687414,34.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_35_0_1_1_1_1_1_1_1_1_1_1_1_2_35_0,0.1656,0.1457,0.10685,0.08315,0.063,0.04225,0.0913,0.0673,0.10005,0.0603,0.2052,0.2398,4,1,-0.2892176,-0.3680751,-0.106796116,-0.24409857,0.34447175,0.598134,-0.3841484,-0.5617063,20.066162574784016,73.69962745549799,35.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_36_0_1_1_1_1_1_1_1_1_1_1_1_2_36_0,0.2183,0.21195,0.184,0.1585,0.0764,0.04835,0.10255,0.07455,0.1285,0.0836,0.2117,0.2189,6,6,-0.36076048,-0.47958115,0.015348837,-0.016130904,0.24456201,0.44727272,-0.34733492,-0.49190664,20.05448447609046,73.6945070583785,36.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_37_0_1_1_1_1_1_1_1_1_1_1_1_2_37_0,0.16235,0.1683,0.0854,0.1136,0.0412,0.0518,0.0532,0.0697,0.0368,0.0814,0.4252,0.3012,4,4,-0.506379,-0.41428572,-0.44736618,-0.2830671,0.84069264,0.5744903,-0.77759194,-0.6241574,19.92225246626807,73.92663172779498,37.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_38_0_1_1_1_1_1_1_1_1_1_1_1_2_38_0,0.2406,0.1745,0.151,0.1355,0.0571,0.0516,0.0791,0.0684,0.1058,0.0846,0.2382,0.1748,4,4,-0.5051611,-0.43680528,0.0050125313,-8.5886056E-4,0.38488373,0.3477255,-0.50141823,-0.4375,20.11970216571754,73.88512956166866,38.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_39_0_1_1_1_1_1_1_1_1_1_1_1_2_39_0,0.2801,0.294,0.2322,0.2499,0.079,0.0831,0.0992,0.11,0.136,0.1488,0.1872,0.2002,4,4,-0.47693118,-0.45544556,0.19880162,0.1898017,0.15841584,0.14727794,-0.30726257,-0.29078013,20.116558062223124,73.86931921266816,39.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_40_0_1_1_1_1_1_1_1_1_1_1_1_2_40_0,0.2465,0.3639,0.1901,0.2983,0.0665,0.1214,0.0924,0.1492,0.1332,0.1924,0.2586,0.2648,4,6,-0.4547064,-0.41843694,-0.023955652,0.15762685,0.32006127,0.1583552,-0.47350428,-0.27922705,20.066432069369252,73.90462300333407,40.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_41_0_1_1_1_1_1_1_1_1_1_1_1_2_41_0,0.2333,0.2243,0.1929,0.18915,0.0782,0.0851,0.0946,0.109,0.1222,0.1357,0.2094,0.1995,6,6,-0.42299482,-0.3459346,0.0539869,0.058518168,0.26296744,0.19033413,-0.37763157,-0.29335493,19.851555053407864,73.8537783582529,41.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_42_0_1_1_1_1_1_1_1_1_1_1_1_2_42_0,0.0093,0.0104,0.009,0.00915,0.0462,0.03085,0.0615,0.0412,0.036,0.01905,0.0117,0.00745,0,0,0.7372881,0.5968992,-0.114285715,0.16526611,-0.509434,-0.43773586,0.6803279,0.6937307,19.89925559499461,73.66576096928668,42.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_43_0_1_1_1_1_1_1_1_1_1_1_1_2_43_0,0.155,0.157,0.1225,0.123,0.0762,0.0798,0.0992,0.1062,0.1042,0.0997,0.1876,0.239,6,6,-0.2195122,-0.19300912,-0.0951547,-0.20707071,0.2858122,0.41127843,-0.30822873,-0.38470453,19.997531287077287,73.77607408617656,43.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_44_0_1_1_1_1_1_1_1_1_1_1_1_2_44_0,0.1943,0.1967,0.1119,0.12195,0.0412,0.0335,0.055,0.05545,0.0476,0.04515,0.2436,0.2278,1,1,-0.5587645,-0.56018245,-0.11258278,-0.07326266,0.6730769,0.6691702,-0.6316142,-0.60847306,19.862245005288887,73.7170547720099,44.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_45_0_1_1_1_1_1_1_1_1_1_1_1_2_45_0,0.28245,0.2363,0.23405,0.2175,0.0745,0.1302,0.0968,0.163,0.1366,0.1988,0.2054,0.242,4,6,-0.4895188,-0.18357125,0.15793788,-0.011917206,0.2011696,0.09800363,-0.35936466,-0.19506173,19.95953255055903,73.72298365288509,45.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_46_0_1_1_1_1_1_1_1_1_1_1_1_2_46_0,0.2182,0.2458,0.1763,0.2212,0.108,0.1844,0.1262,0.205,0.1338,0.2156,0.2556,0.3042,5,7,-0.26713124,-0.090505764,-0.07893626,-0.106181815,0.3127889,0.17045017,-0.3389209,-0.1948154,19.974534415803827,73.89680766036223,46.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_47_0_1_1_1_1_1_1_1_1_1_1_1_2_47_0,0.1784,0.1655,0.1368,0.1043,0.0562,0.0388,0.0773,0.0657,0.0886,0.054,0.1726,0.2552,6,4,-0.3953852,-0.4316609,0.016524216,-0.21321607,0.32159266,0.65071154,-0.38135254,-0.59052664,20.023402767259928,73.8116473714277,47.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_48_0_1_1_1_1_1_1_1_1_1_1_1_2_48_0,0.16725,0.1627,0.0956,0.1093,0.04845,0.0408,0.06895,0.0583,0.0473,0.0631,0.3518,0.211,4,4,-0.41617274,-0.4723982,-0.35555342,-0.12924805,0.7629667,0.5395841,-0.67225194,-0.5670256,19.930876292995617,73.79008780460882,48.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_49_0_1_1_1_1_1_1_1_1_1_1_1_2_49_0,0.3038,0.2975,0.2128,0.227,0.0734,0.0712,0.1046,0.0974,0.159,0.148,0.2398,0.2184,4,4,-0.4877571,-0.5067106,0.11773363,0.15332429,0.20260783,0.19213974,-0.39256677,-0.3831539,20.089967929813184,73.75505350852816,49.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_50_0_1_1_1_1_1_1_1_1_1_1_1_2_50_0,0.19225,0.214,0.1524,0.1845,0.0635,0.0598,0.0777,0.083,0.0833,0.0932,0.2047,0.1932,6,6,-0.42433783,-0.44107744,-0.03136415,0.05108055,0.42152777,0.349162,-0.44971672,-0.39898625,19.97516323650271,73.7222650006578,50.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_51_0_1_1_1_1_1_1_1_1_1_1_1_2_51_0,0.187,0.1745,0.1558,0.1213,0.0588,0.0438,0.0658,0.0655,0.0786,0.0629,0.157,0.2712,6,6,-0.47943038,-0.45416668,0.0872093,-0.21696208,0.3327674,0.623466,-0.40933573,-0.6109296,19.988278639650854,73.92133166761869,51.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_52_0_1_1_1_1_1_1_1_1_1_1_1_2_52_0,0.2554,0.2781,0.2103,0.2255,0.0878,0.0736,0.1042,0.0996,0.1384,0.1426,0.1914,0.2048,5,5,-0.4204672,-0.4725973,0.14324082,0.15179126,0.16070345,0.17904434,-0.29499322,-0.3455979,20.060143862380418,73.89123810560068,52.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_53_0_1_1_1_1_1_1_1_1_1_1_1_2_53_0,0.2474,0.2259,0.1755,0.1693,0.074,0.0577,0.0834,0.0722,0.1244,0.108,0.2012,0.1686,5,5,-0.49576783,-0.5155988,0.10298707,0.14524715,0.23587224,0.21908894,-0.41391426,-0.4003322,20.122217448513076,73.93669285897712,53.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_54_0_1_1_1_1_1_1_1_1_1_1_1_2_54_0,0.2813,0.2511,0.1819,0.1765,0.0577,0.046,0.0874,0.069,0.1176,0.0908,0.2598,0.2036,5,5,-0.5259018,-0.56888473,0.039733876,0.10446448,0.37678856,0.3831522,-0.49654377,-0.49376374,20.079457640988988,73.77050453141501,54.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_55_0_1_1_1_1_1_1_1_1_1_1_1_2_55_0,0.1901,0.2241,0.118,0.1435,0.0503,0.0482,0.0636,0.0718,0.0608,0.073,0.2662,0.2844,4,4,-0.49862042,-0.5147009,-0.16677624,-0.118584074,0.62813455,0.59149414,-0.6143117,-0.5968557,19.993938025940807,73.91486379757302,55.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_56_0_1_1_1_1_1_1_1_1_1_1_1_2_56_0,0.171,0.1523,0.1163,0.1097,0.0452,0.0405,0.0654,0.0644,0.0642,0.0651,0.2888,0.1786,4,4,-0.4467005,-0.4056299,-0.25619835,-0.07948021,0.6362606,0.46573657,-0.6307171,-0.46995884,20.134254873320277,73.8612343751111,56.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_57_0_1_1_1_1_1_1_1_1_1_1_1_2_57_0,0.2002,0.15085,0.15125,0.092,0.0654,0.03465,0.08095,0.0559,0.102,0.0399,0.1762,0.32,4,4,-0.4241508,-0.4592503,0.06376196,-0.35924393,0.2667146,0.77827173,-0.3704064,-0.70258045,19.97390559510494,73.70097492842417,57.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_58_0_1_1_1_1_1_1_1_1_1_1_1_2_58_0,0.2448,0.2532,0.2028,0.2045,0.0736,0.0662,0.0982,0.0882,0.1356,0.1218,0.1832,0.1616,5,5,-0.42740524,-0.48330405,0.14392523,0.22082931,0.14930992,0.14043754,-0.3020611,-0.29383507,20.070115162034142,73.87273281074782,58.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_59_0_1_1_1_1_1_1_1_1_1_1_1_2_59_0,0.3205,0.2919,0.2315,0.2547,0.0773,0.1656,0.1082,0.2072,0.1584,0.2342,0.2418,0.2604,4,6,-0.4952181,-0.16970547,0.13996087,0.05703422,0.20839581,0.052972097,-0.38171428,-0.11377245,20.083679722824346,73.77625374923338,59.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_60_0_1_1_1_1_1_1_1_1_1_1_1_2_60_0,0.2067,0.1849,0.135,0.1322,0.0506,0.0414,0.0655,0.0644,0.0702,0.0781,0.2362,0.2474,4,4,-0.51873624,-0.48335338,-0.066606455,-0.14457552,0.54177547,0.5201229,-0.5657938,-0.5869147,20.03867412708996,73.85368852672448,60.0,Nashik,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
