change_type,samples,percentage
No Change,4465,74.41666666666666
Vegetation Loss,483,8.05
Vegetation Gain,452,7.533333333333333
Urban Expansion,373,6.216666666666667
Agriculture Gain,136,2.2666666666666666
Water Gain,34,0.5666666666666667
Water Loss,26,0.4333333333333333
Other Change,22,0.36666666666666664
Agriculture Loss,9,0.15
