change_type,samples,percentage
No Change,4700,78.33333333333333
Vegetation Loss,473,7.883333333333334
Vegetation Gain,355,5.916666666666667
Urban Expansion,329,5.483333333333333
Agriculture Gain,75,1.25
Water Gain,29,0.48333333333333334
Water Loss,19,0.31666666666666665
Other Change,13,0.21666666666666665
Agriculture Loss,7,0.11666666666666668
