class,precision,recall,f1-score,support
Water,0.9652777777777778,0.9025974025974026,0.9328859060402684,308.0
Vegetation,0.6251851851851852,0.6698412698412698,0.6467432950191571,630.0
Agriculture,0.5080385852090032,0.5401709401709401,0.5236122618061309,585.0
Built-up,0.7444444444444445,0.7102473498233216,0.7269439421338155,849.0
Barren,0.4,0.07142857142857142,0.12121212121212122,28.0
accuracy,0.6754166666666667,0.6754166666666667,0.6754166666666667,0.6754166666666667
macro avg,0.6485891985232821,0.5788571067723012,0.5902795052422987,2400.0
weighted avg,0.6798367199595093,0.6754166666666667,0.6756915226435863,2400.0
