Metric,Baseline,New_Pipeline,Absolute_Change,Percentage_Change
2018 Accuracy,0.597,0.6666666666666666,0.06966666666666665,11.669458403126743
2024 Accuracy,0.631,0.6841666666666667,0.053166666666666695,8.425779186476497
Combined Accuracy,0.614,0.6754166666666667,0.061416666666666675,10.002714440825192
Combined Macro F1,0.5298,0.5902795052422987,0.060479505242298615,11.415535153321747
