Split,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1
2018 Test,0.6666666666666666,0.6663478423773597,0.5848892267354342,0.5987560799382134,0.6656533118792012
2024 Test,0.6841666666666667,0.6363189118752619,0.5768381200850247,0.585278019721398,0.6859348918823348
Combined Test (2018+2024),0.6754166666666667,0.6485891985232821,0.5788571067723012,0.5902795052422987,0.6756915226435863
